COLUMN_NAME,COLUMN_TYPE,NONULL,COLUMN_COMMENT,ORDINAL_POSITION,COLUMN_KEY,,
i_index,int(11),YES,,1,PRI,,自動編號
dev_mac,char(32),YES,,2,PRI,,設備mac
DAT_TIME,text,NO,,3,,,建立日期時間
A001,char(20),YES,,4,PRI,,設備mac
A002,char(20),NO,,5,,,
A003,char(20),NO,,6,,,
A004,char(20),NO,,7,,,
A005,char(20),NO,,8,,,
A006,char(20),NO,,9,,,
A007,char(20),NO,,10,,,
A008,char(20),NO,,11,,,
A009,char(20),NO,,12,,,
A010,char(20),NO,,13,,,
A011,char(20),NO,,14,,,
A012,char(20),NO,,15,,,
A013,char(20),NO,,16,,,
A014,char(20),NO,,17,,,
A015,char(20),NO,,18,,,
A016,char(20),NO,,19,,,
A017,char(20),NO,,20,,,
A018,char(20),NO,,21,,,
A019,char(20),NO,,22,,,
A020,char(20),NO,,23,,,
A021,char(20),NO,,24,,,
A022,char(20),NO,,25,,,
A023,char(20),NO,,26,,,
A024,char(20),NO,,27,,,
A025,char(20),NO,,28,,,
A026,char(20),NO,,29,,,
A027,char(20),NO,,30,,,
A028,char(20),NO,,31,,,
A029,char(20),NO,,32,,,
A030,char(20),NO,,33,,,
A031,char(20),NO,,34,,,
A032,char(20),NO,,35,,,
A033,char(20),NO,,36,,,
A034,char(20),NO,,37,,,
A035,char(20),NO,,38,,,
A036,char(20),NO,,39,,,
A037,char(20),NO,,40,,,
A038,char(20),NO,,41,,,
A039,char(20),NO,,42,,,
A040,char(20),NO,,43,,,
A041,char(20),NO,,44,,,
A042,char(20),NO,,45,,,
A043,char(20),NO,,46,,,
A044,char(20),NO,,47,,,
A045,char(20),NO,,48,,,
A046,char(20),NO,,49,,,
A047,char(20),NO,,50,,,
A048,char(20),NO,,51,,,
A049,char(20),NO,,52,,,
A050,char(20),NO,,53,,,
A051,char(20),NO,,54,,,
A052,char(20),NO,,55,,,
A053,char(20),NO,,56,,,
A054,char(20),NO,,57,,,
A055,char(20),NO,,58,,,
A056,char(20),NO,,59,,,
A057,char(20),NO,,60,,,
A058,char(20),NO,,61,,,
A059,char(20),NO,,62,,,
A060,char(20),NO,,63,,,
A061,char(20),NO,,64,,,
A062,char(20),NO,,65,,,
A063,char(20),NO,,66,,,
A064,char(20),NO,,67,,,
A065,char(20),NO,,68,,,
A066,char(20),NO,,69,,,
A067,char(20),NO,,70,,,
A068,char(20),NO,,71,,,
A069,char(20),NO,,72,,,
A070,char(20),NO,,73,,,
A071,char(20),NO,,74,,,
A072,char(20),NO,,75,,,
A073,char(20),NO,,76,,,
A074,char(20),NO,,77,,,
A075,char(20),NO,,78,,,
A076,char(20),NO,,79,,,
A077,char(20),NO,,80,,,
A078,char(20),NO,,81,,,
A079,char(20),NO,,82,,,
A080,char(20),NO,,83,,,
A081,char(20),NO,,84,,,
A082,char(20),NO,,85,,,
A083,char(20),NO,,86,,,
A084,char(20),NO,,87,,,
A085,char(20),NO,,88,,,
A086,char(20),NO,,89,,,
A087,char(20),NO,,90,,,
A088,char(20),NO,,91,,,
A089,char(20),NO,,92,,,
A090,char(20),NO,,93,,,
A091,char(20),NO,,94,,,
A092,char(20),NO,,95,,,
A093,char(20),NO,,96,,,
A094,char(20),NO,,97,,,
A095,char(20),NO,,98,,,
A096,char(20),NO,,99,,,
A097,char(20),NO,,100,,,
A098,char(20),NO,,101,,,
A099,char(20),NO,,102,,,
A100,char(20),NO,,103,,,
A101,char(20),NO,,104,,,
A102,char(20),NO,,105,,,
A103,char(20),NO,,106,,,
A104,char(20),NO,,107,,,
A105,char(20),NO,,108,,,
A106,char(20),NO,,109,,,
A107,char(20),NO,,110,,,
A108,char(20),NO,,111,,,
A109,char(20),NO,,112,,,
A110,char(20),NO,,113,,,
A111,char(20),NO,,114,,,
A112,char(20),NO,,115,,,
A113,char(20),NO,,116,,,
A114,char(20),NO,,117,,,
A115,char(20),NO,,118,,,
A116,char(20),NO,,119,,,
A117,char(20),NO,,120,,,
A118,char(20),NO,,121,,,
A119,char(20),NO,,122,,,
i_type,int(8),NO,,123,,,
